marital,age,sex,race,hompop,happy,health,satjob,fincome
2,86,2,1,1,2,3,0,6894
1,71,2,1,2,3,4,0,1532
1,50,2,1,3,1,3,2,14362.5
3,40,1,2,1,2,3,2,0
1,30,1,1,5,1,1,1,42130
1,68,1,3,8,2,2,3,8617.5
1,37,2,2,4,2,0,1,178712.4649
4,41,2,1,5,1,3,1,0
1,64,2,1,4,3,1,1,0
1,72,1,1,2,2,2,0,34470
5,40,2,1,1,2,2,1,42130
3,43,2,1,2,1,2,1,0
3,84,1,1,1,2,0,0,76600
1,34,1,1,4,1,2,1,178712.4649
3,79,2,2,1,1,1,0,16277.5
2,60,1,2,1,3,4,0,10532.5
3,59,1,1,1,2,4,4,14362.5
1,59,1,2,2,2,0,1,1532
3,63,2,1,1,1,2,0,8617.5
3,66,2,1,1,1,0,0,8617.5
1,49,1,3,4,2,2,1,4979
5,66,1,1,3,2,0,0,178712.4649
1,42,1,3,6,2,2,1,178712.4649
1,52,1,1,3,2,0,3,178712.4649
1,42,1,3,2,2,2,1,107240
3,45,1,2,3,2,2,3,178712.4649
1,37,2,1,3,2,0,1,178712.4649
1,49,1,2,2,1,1,2,51705
1,31,1,2,2,2,0,0,16277.5
1,81,1,2,2,1,1,0,51705
5,30,1,2,2,3,3,2,76600
5,29,1,2,3,1,0,1,16277.5
1,58,1,1,2,2,3,1,42130
3,76,2,1,1,3,2,1,0
1,49,1,1,4,2,1,2,51705
1,42,2,2,4,2,1,2,63195
5,56,1,1,2,2,0,1,107240
1,40,2,1,2,1,1,1,178712.4649
1,35,2,1,2,1,0,2,178712.4649
1,36,2,1,2,1,1,0,91920
1,56,2,1,2,1,1,1,51705
1,37,1,1,2,2,0,1,91920
1,35,2,1,3,1,1,2,63195
5,24,1,3,3,2,1,1,18192.5
1,70,1,1,3,3,0,2,63195
5,28,1,1,4,2,2,1,51705
1,51,2,1,2,1,0,2,5745
1,30,2,1,2,2,3,3,14362.5
2,80,2,1,1,3,0,0,34470
3,46,2,1,3,2,2,2,34470
2,78,2,1,2,2,0,0,0
2,64,2,1,1,2,2,1,34470
5,50,2,1,1,2,1,1,42130
3,63,1,1,1,3,0,0,28725
1,66,1,3,3,1,0,2,51705
1,35,2,1,3,1,1,2,91920
2,72,1,3,1,3,3,0,6894
1,88,1,3,2,1,0,0,10532.5
5,0,2,1,1,3,2,4,21065
5,19,1,2,1,2,2,4,383
3,32,2,2,4,1,2,1,18192.5
1,33,2,1,4,1,0,1,51705
1,48,2,1,6,2,0,3,178712.4649
3,67,2,1,1,2,2,0,8617.5
1,46,1,2,3,2,2,1,34470
1,50,1,1,2,2,2,1,51705
5,28,1,1,5,1,0,1,178712.4649
1,28,2,3,2,1,2,1,51705
5,49,1,1,2,3,1,1,34470
5,20,2,1,1,2,2,1,8617.5
5,51,1,1,1,2,3,3,178712.4649
3,75,2,1,1,3,0,0,6894
3,65,2,1,1,2,0,0,21065
3,58,2,1,1,2,3,2,6894
1,40,2,1,3,2,2,2,42130
1,32,2,1,3,1,1,1,76600
1,53,2,1,2,3,4,3,28725
1,51,1,1,2,2,0,3,63195
1,48,2,1,2,1,3,1,63195
1,42,1,3,5,1,0,1,34470
1,39,2,1,4,2,4,1,42130
5,27,2,1,4,3,0,3,3447
1,45,2,3,5,1,0,2,12447.5
1,42,1,1,3,2,2,2,63195
1,48,1,1,2,3,0,3,63195
1,69,2,1,2,2,1,0,63195
5,18,1,3,6,2,3,4,42130
1,37,1,1,3,2,2,3,63195
1,33,2,1,4,1,1,1,51705
5,49,2,1,2,2,0,2,42130
1,39,2,3,2,2,2,2,0
1,44,2,3,5,1,0,3,28725
5,53,1,3,3,3,0,2,5745
5,25,1,3,3,2,1,2,4979
1,45,2,1,3,1,0,1,76600
1,24,1,1,2,2,0,2,24895
5,59,2,2,1,1,2,0,21065
5,27,2,3,3,2,2,1,42130
3,54,1,1,2,3,0,2,28725
5,26,2,1,2,1,2,2,24895
2,86,2,1,1,2,1,0,0
3,63,2,1,1,2,0,1,34470
5,27,2,2,4,1,1,1,28725
3,52,1,2,2,2,1,3,16277.5
5,50,2,2,1,3,2,3,2681
5,36,2,2,2,2,0,2,2681
5,38,1,3,1,2,1,1,383
3,73,2,2,5,3,4,0,24895
3,51,1,1,1,2,2,2,178712.4649
5,41,2,1,1,3,0,2,18192.5
1,36,1,2,3,3,3,0,34470
1,54,2,1,4,1,3,1,0
3,39,2,1,2,2,2,2,51705
1,61,2,1,2,2,0,1,63195
5,21,1,1,2,2,0,1,12447.5
